Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_903798175.1	Primary Assembly	1	17553840	36	LR812569.1	Chromosome			assembled-molecule	58221445			1
GCA_903798175.1	Primary Assembly	2	17381948	36.5	LR812570.1	Chromosome			assembled-molecule	59275206			2
GCA_903798175.1	Primary Assembly	3	17528504	36.5	LR812571.1	Chromosome			assembled-molecule	59996552			3
GCA_903798175.1	Primary Assembly	4	10138147	36	LR812572.1	Chromosome			assembled-molecule	33441512			4
GCA_903798175.1	Primary Assembly	5	21109995	36.5	LR812573.1	Chromosome			assembled-molecule	70741433			5
GCA_903798175.1	Primary Assembly	6	17565725	36.5	LR812574.1	Chromosome			assembled-molecule	58030788			6
GCA_903798175.1	Primary Assembly	7	21424935	36.5	LR812575.1	Chromosome			assembled-molecule	71468568			7
GCA_903798175.1	Primary Assembly	8	16113495	36.5	LR812576.1	Chromosome			assembled-molecule	53615831			8
GCA_903798175.1	Primary Assembly	9	17042477	36.5	LR812577.1	Chromosome			assembled-molecule	57525603			9
GCA_903798175.1	Primary Assembly	10	13767707	36.5	LR812578.1	Chromosome			assembled-molecule	46215761			10
GCA_903798175.1	Primary Assembly	11	13839068	36.5	LR812579.1	Chromosome			assembled-molecule	46218774			11
GCA_903798175.1	Primary Assembly	12	14024770	36.5	LR812580.1	Chromosome			assembled-molecule	46630904			12
GCA_903798175.1	Primary Assembly	13	16660432	36.5	LR812581.1	Chromosome			assembled-molecule	54512446			13
GCA_903798175.1	Primary Assembly	14	14856379	36.5	LR812582.1	Chromosome			assembled-molecule	51184889			14
GCA_903798175.1	Primary Assembly	15	13694473	36.5	LR812583.1	Chromosome			assembled-molecule	46203510			15
GCA_903798175.1	Primary Assembly	16	16428203	36.5	LR812584.1	Chromosome			assembled-molecule	56178339			16
GCA_903798175.1	Primary Assembly	17	16625864	36.5	LR812585.1	Chromosome			assembled-molecule	54799276			17
GCA_903798175.1	Primary Assembly	18	14639961	36.5	LR812586.1	Chromosome			assembled-molecule	51269298			18
GCA_903798175.1	Primary Assembly	19	14547905	36.5	LR812587.1	Chromosome			assembled-molecule	48376370			19
GCA_903798175.1	Primary Assembly	20	16017503	36.5	LR812588.1	Chromosome			assembled-molecule	54694995			20
GCA_903798175.1	Primary Assembly	21	13360070	36.5	LR812589.1	Chromosome			assembled-molecule	44761126			21
GCA_903798175.1	Primary Assembly	22	10914788	37	LR812590.1	Chromosome			assembled-molecule	37117486			22
GCA_903798175.1	Primary Assembly	23	13720187	36.5	LR812591.1	Chromosome			assembled-molecule	45548233			23
GCA_903798175.1	Primary Assembly	24	12845668	36.5	LR812592.1	Chromosome			assembled-molecule	42688876			24
GCA_903798175.1	Primary Assembly	25	11253766	36.5	LR812593.1	Chromosome			assembled-molecule	38192185			25
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000001.1	Chromosome			unplaced-scaffold	308433			contig1
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000002.1	Chromosome			unplaced-scaffold	306177			contig2
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000003.1	Chromosome			unplaced-scaffold	290619			contig3
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000004.1	Chromosome			unplaced-scaffold	264983			contig4
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000005.1	Chromosome			unplaced-scaffold	238637			contig5
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000006.1	Chromosome			unplaced-scaffold	237214			contig6
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000007.1	Chromosome			unplaced-scaffold	235473			contig7
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000008.1	Chromosome			unplaced-scaffold	220799			contig8
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000009.1	Chromosome			unplaced-scaffold	220597			contig9
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000010.1	Chromosome			unplaced-scaffold	203266			contig10
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000011.1	Chromosome			unplaced-scaffold	202176			contig11
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000012.1	Chromosome			unplaced-scaffold	189840			contig12
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000013.1	Chromosome			unplaced-scaffold	185663			contig13
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000014.1	Chromosome			unplaced-scaffold	181647			contig14
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000015.1	Chromosome			unplaced-scaffold	178242			contig15
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000016.1	Chromosome			unplaced-scaffold	140773			contig16
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000017.1	Chromosome			unplaced-scaffold	135712			contig17
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000018.1	Chromosome			unplaced-scaffold	133857			contig18
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000019.1	Chromosome			unplaced-scaffold	125960			contig19
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000020.1	Chromosome			unplaced-scaffold	125955			contig20
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000021.1	Chromosome			unplaced-scaffold	123836			contig21
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000022.1	Chromosome			unplaced-scaffold	113223			contig22
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000023.1	Chromosome			unplaced-scaffold	112312			contig23
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000024.1	Chromosome			unplaced-scaffold	112310			contig24
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000025.1	Chromosome			unplaced-scaffold	110469			contig25
GCA_903798175.1	Primary Assembly	Un			CAIGQY010000026.1	Chromosome			unplaced-scaffold	109720			contig26
