Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_000002035.6	Primary Assembly	1	23679715	36.5	CM002885.2	Chromosome		NC_007112.7	assembled-molecule	59578282	chr1		1
GCF_000002035.6	Primary Assembly	2	23640185	36.5	CM002886.2	Chromosome		NC_007113.7	assembled-molecule	59640629	chr2		2
GCF_000002035.6	Primary Assembly	3	25242960	37	CM002887.2	Chromosome		NC_007114.7	assembled-molecule	62628489	chr3		3
GCF_000002035.6	Primary Assembly	4	30876765	38	CM002888.2	Chromosome		NC_007115.7	assembled-molecule	78093715	chr4		4
GCF_000002035.6	Primary Assembly	5	28578545	36.5	CM002889.2	Chromosome		NC_007116.7	assembled-molecule	72500376	chr5		5
GCF_000002035.6	Primary Assembly	6	24256780	36.5	CM002890.2	Chromosome		NC_007117.7	assembled-molecule	60270059	chr6		6
GCF_000002035.6	Primary Assembly	7	29174373	36.5	CM002891.2	Chromosome		NC_007118.7	assembled-molecule	74282399	chr7		7
GCF_000002035.6	Primary Assembly	8	21762323	36.5	CM002892.2	Chromosome		NC_007119.7	assembled-molecule	54304671	chr8		8
GCF_000002035.6	Primary Assembly	9	22210308	36.5	CM002893.2	Chromosome		NC_007120.7	assembled-molecule	56459846	chr9		9
GCF_000002035.6	Primary Assembly	10	18089750	36.5	CM002894.2	Chromosome		NC_007121.7	assembled-molecule	45420867	chr10		10
GCF_000002035.6	Primary Assembly	11	17895289	36.5	CM002895.2	Chromosome		NC_007122.7	assembled-molecule	45484837	chr11		11
GCF_000002035.6	Primary Assembly	12	20197927	36.5	CM002896.2	Chromosome		NC_007123.7	assembled-molecule	49182954	chr12		12
GCF_000002035.6	Primary Assembly	13	20672582	36.5	CM002897.2	Chromosome		NC_007124.7	assembled-molecule	52186027	chr13		13
GCF_000002035.6	Primary Assembly	14	20922035	36.5	CM002898.2	Chromosome		NC_007125.7	assembled-molecule	52660232	chr14		14
GCF_000002035.6	Primary Assembly	15	19626012	37	CM002899.2	Chromosome		NC_007126.7	assembled-molecule	48040578	chr15		15
GCF_000002035.6	Primary Assembly	16	22675167	36.5	CM002900.2	Chromosome		NC_007127.7	assembled-molecule	55266484	chr16		16
GCF_000002035.6	Primary Assembly	17	20997836	36.5	CM002901.2	Chromosome		NC_007128.7	assembled-molecule	53461100	chr17		17
GCF_000002035.6	Primary Assembly	18	20002237	36.5	CM002902.2	Chromosome		NC_007129.7	assembled-molecule	51023478	chr18		18
GCF_000002035.6	Primary Assembly	19	19084914	36.5	CM002903.2	Chromosome		NC_007130.7	assembled-molecule	48449771	chr19		19
GCF_000002035.6	Primary Assembly	20	21708634	36.5	CM002904.2	Chromosome		NC_007131.7	assembled-molecule	55201332	chr20		20
GCF_000002035.6	Primary Assembly	21	18174303	36.5	CM002905.2	Chromosome		NC_007132.7	assembled-molecule	45934066	chr21		21
GCF_000002035.6	Primary Assembly	22	15982312	37	CM002906.2	Chromosome		NC_007133.7	assembled-molecule	39133080	chr22		22
GCF_000002035.6	Primary Assembly	23	18207302	37	CM002907.2	Chromosome		NC_007134.7	assembled-molecule	46223584	chr23		23
GCF_000002035.6	Primary Assembly	24	16550572	36.5	CM002908.2	Chromosome		NC_007135.7	assembled-molecule	42172926	chr24		24
GCF_000002035.6	Primary Assembly	25	14931051	36.5	CM002909.2	Chromosome		NC_007136.7	assembled-molecule	37502051	chr25		25
GCF_000002035.6	Primary Assembly	Un			KN147552.2	Chromosome		NW_003334243.2	unplaced-scaffold	24373	chrUn_KN147552v2		NA876
GCF_000002035.6	Primary Assembly	Un			KN147632.2	Chromosome		NW_003336270.3	unplaced-scaffold	184438	chrUn_KN147632v2		CTG2805
GCF_000002035.6	Primary Assembly	Un			KN147636.1	Chromosome		NW_001884452.4	unplaced-scaffold	203829	chrUn_KN147636v1		CTG386
GCF_000002035.6	Primary Assembly	Un			KN147637.2	Chromosome		NW_001884473.4	unplaced-scaffold	171924	chrUn_KN147637v2		CTG6109
GCF_000002035.6	Primary Assembly	Un			KN147642.2	Chromosome		NW_001878780.5	unplaced-scaffold	204646	chrUn_KN147642v2		CTG349
GCF_000002035.6	Primary Assembly	Un			KN147651.2	Chromosome		NW_003040715.4	unplaced-scaffold	351968	chrUn_KN147651v2		CTG6308
GCF_000002035.6	Primary Assembly	Un			KN147652.2	Chromosome		NW_001884533.5	unplaced-scaffold	252640	chrUn_KN147652v2		CTG6693
GCF_000002035.6	Primary Assembly	Un			KN148038.2	Chromosome		NW_003334681.2	unplaced-scaffold	17585	chrUn_KN148038v2		NA352
GCF_000002035.6	Primary Assembly	Un			KN148828.2	Chromosome		NW_003335484.2	unplaced-scaffold	13322	chrUn_KN148828v2		NA532
GCF_000002035.6	Primary Assembly	Un			KN148869.2	Chromosome		NW_003335528.3	unplaced-scaffold	18523	chrUn_KN148869v2		NA809
GCF_000002035.6	Primary Assembly	Un			KN149680.1	Chromosome		NW_003336264.2	unplaced-scaffold	38724	chrUn_KN149680v1		CTG10504
GCF_000002035.6	Primary Assembly	Un			KN149682.1	Chromosome		NW_001878251.4	unplaced-scaffold	137468	chrUn_KN149682v1		CTG1235
GCF_000002035.6	Primary Assembly	Un			KN149683.1	Chromosome		NW_001884381.4	unplaced-scaffold	152860	chrUn_KN149683v1		CTG1424
GCF_000002035.6	Primary Assembly	Un			KN149684.1	Chromosome		NW_001878128.4	unplaced-scaffold	159057	chrUn_KN149684v1		CTG1924
GCF_000002035.6	Primary Assembly	Un			KN149685.1	Chromosome		NW_001884386.4	unplaced-scaffold	164780	chrUn_KN149685v1		CTG2405
GCF_000002035.6	Primary Assembly	Un			KN149686.1	Chromosome		NW_003044888.3	unplaced-scaffold	260365	chrUn_KN149686v1		CTG2478
GCF_000002035.6	Primary Assembly	Un			KN149687.1	Chromosome		NW_001884400.4	unplaced-scaffold	165668	chrUn_KN149687v1		CTG2612
GCF_000002035.6	Primary Assembly	Un			KN149688.2	Chromosome		NW_001878118.5	unplaced-scaffold	252035	chrUn_KN149688v2		CTG2688
GCF_000002035.6	Primary Assembly	Un			KN149689.2	Chromosome		NW_001879289.5	unplaced-scaffold	201817	chrUn_KN149689v2		CTG2689
GCF_000002035.6	Primary Assembly	Un			KN149690.1	Chromosome		NW_001884413.3	unplaced-scaffold	343018	chrUn_KN149690v1		CTG2784
GCF_000002035.6	Primary Assembly	Un			KN149691.1	Chromosome		NW_001884427.4	unplaced-scaffold	233193	chrUn_KN149691v1		CTG2934
GCF_000002035.6	Primary Assembly	Un			KN149692.1	Chromosome		NW_001884442.4	unplaced-scaffold	36911	chrUn_KN149692v1		CTG3234
GCF_000002035.6	Primary Assembly	Un			KN149693.1	Chromosome		NW_001884441.4	unplaced-scaffold	49295	chrUn_KN149693v1		CTG3235
GCF_000002035.6	Primary Assembly	Un			KN149694.1	Chromosome		NW_001884444.4	unplaced-scaffold	162759	chrUn_KN149694v1		CTG3250
GCF_000002035.6	Primary Assembly	Un			KN149695.1	Chromosome		NW_003039389.3	unplaced-scaffold	190731	chrUn_KN149695v1		CTG470
GCF_000002035.6	Primary Assembly	Un			KN149696.2	Chromosome		NW_003039384.4	unplaced-scaffold	368252	chrUn_KN149696v2		CTG6325
GCF_000002035.6	Primary Assembly	Un			KN149697.1	Chromosome		NW_008805346.1	unplaced-scaffold	40969	chrUn_KN149697v1		NA1036
