Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_018400075.1	Primary Assembly	1	21314362	36.5	CP068735.1	Chromosome			assembled-molecule	58785646			1
GCA_018400075.1	Primary Assembly	2	21705581	36.5	CP068736.1	Chromosome			assembled-molecule	59455749			2
GCA_018400075.1	Primary Assembly	3	22893740	37	CP068737.1	Chromosome			assembled-molecule	62309442			3
GCA_018400075.1	Primary Assembly	4	28997785	38	CP068738.1	Chromosome			assembled-molecule	76559324			4
GCA_018400075.1	Primary Assembly	5	25956656	36.5	CP068739.1	Chromosome			assembled-molecule	71623509			5
GCA_018400075.1	Primary Assembly	6	21809926	36.5	CP068740.1	Chromosome			assembled-molecule	60182086			6
GCA_018400075.1	Primary Assembly	7	27050688	36.5	CP068741.1	Chromosome			assembled-molecule	73995704			7
GCA_018400075.1	Primary Assembly	8	19672716	36.5	CP068742.1	Chromosome			assembled-molecule	54124915			8
GCA_018400075.1	Primary Assembly	9	20630362	36.5	CP068743.1	Chromosome			assembled-molecule	56811974			9
GCA_018400075.1	Primary Assembly	10	16582059	36.5	CP068744.1	Chromosome			assembled-molecule	45511566			10
GCA_018400075.1	Primary Assembly	11	16304293	36	CP068745.1	Chromosome			assembled-molecule	45052521			11
GCA_018400075.1	Primary Assembly	12	17751147	36	CP068746.1	Chromosome			assembled-molecule	49168109			12
GCA_018400075.1	Primary Assembly	13	18762409	36.5	CP068747.1	Chromosome			assembled-molecule	51715242			13
GCA_018400075.1	Primary Assembly	14	18905078	36.5	CP068748.1	Chromosome			assembled-molecule	51872344			14
GCA_018400075.1	Primary Assembly	15	17467282	36.5	CP068749.1	Chromosome			assembled-molecule	47700757			15
GCA_018400075.1	Primary Assembly	16	20092004	36.5	CP068750.1	Chromosome			assembled-molecule	55302005			16
GCA_018400075.1	Primary Assembly	17	19413660	36.5	CP068751.1	Chromosome			assembled-molecule	53268933			17
GCA_018400075.1	Primary Assembly	18	18530813	36.5	CP068752.1	Chromosome			assembled-molecule	50937954			18
GCA_018400075.1	Primary Assembly	19	17640577	36.5	CP068753.1	Chromosome			assembled-molecule	48724230			19
GCA_018400075.1	Primary Assembly	20	20166929	36.5	CP068754.1	Chromosome			assembled-molecule	55296965			20
GCA_018400075.1	Primary Assembly	21	16685006	36.5	CP068755.1	Chromosome			assembled-molecule	45833048			21
GCA_018400075.1	Primary Assembly	22	14412159	37	CP068756.1	Chromosome			assembled-molecule	39165900			22
GCA_018400075.1	Primary Assembly	23	16893384	36.5	CP068757.1	Chromosome			assembled-molecule	46207417			23
GCA_018400075.1	Primary Assembly	24	15218079	36	CP068758.1	Chromosome			assembled-molecule	42194100			24
GCA_018400075.1	Primary Assembly	25	13406951	36.5	CP068759.1	Chromosome			assembled-molecule	36839831			25
