piRNA_Name,Transposable_Element,Start_Position,Mapping_Quality,Match_Count,Insertion_Count,Deletion_Count,Alignment_Identity,Orientation
Drer_1847256,Zebrafish-EnSpm-N49/N49B_DR,856,37,17,0,0,1.0,Reverse
Drer_11032,Zebrafish-EnSpm-N49/N49B_DR,1636,37,30,0,0,1.0,Reverse
Drer_48246,Zebrafish-EnSpm-N49/N49B_DR,1636,37,29,0,0,1.0,Reverse
Drer_11031,Zebrafish-EnSpm-N49/N49B_DR,1637,37,29,0,0,1.0,Reverse
Drer_1070185,Zebrafish-EnSpm-N49/N49B_DR,2010,37,17,0,1,1.0,Forward
Drer_1342150,Zebrafish-EnSpm-N49/N49B_DR,1593,37,16,1,0,0.9411764705882353,Reverse
Drer_1036982,Zebrafish-EnSpm-N49/N49B_DR,1766,37,16,1,0,0.9411764705882353,Forward
Drer_282421,Zebrafish-EnSpm-N49/N49B_DR,1917,37,16,1,0,0.9411764705882353,Forward
Drer_1198427,Zebrafish-EnSpm-N49/N49B_DR,1991,37,16,1,0,0.9411764705882353,Forward
Drer_344249,Zebrafish_EnSpm-N49B_DR#DNA/CACTA,1097,37,17,0,1,1.0,Forward
Drer_343778,Zebrafish_EnSpm-N49B_DR#DNA/CACTA,2498,37,21,0,1,1.0,Forward
Drer_58807,Zebrafish_EnSpm-N49B_DR#DNA/CACTA,1778,37,17,1,0,0.9444444444444444,Forward
Drer_1177669,Zebrafish_EnSpm-N49B_DR#DNA/CACTA,2056,37,17,1,0,0.9444444444444444,Reverse
Drer_1312997,Zebrafish_EnSpm-N49B_DR#DNA/CACTA,735,37,16,1,0,0.9411764705882353,Forward
Drer_1581489,Zebrafish_EnSpm-N49B_DR#DNA/CACTA,1781,37,16,1,0,0.9411764705882353,Reverse
Drer_451468,Zebrafish_EnSpm-N49B_DR#DNA/CACTA,736,37,15,1,0,0.9375,Forward
Drer_1125159,Zebrafish_EnSpm-N49B_DR#DNA/CACTA,749,37,15,1,0,0.9375,Reverse
Drer_1321988,Zebrafish_EnSpm-N49B_DR#DNA/CACTA,863,37,15,1,0,0.9375,Forward
Drer_1398539,Zebrafish_EnSpm-N49B_DR#DNA/CACTA,2011,37,15,1,0,0.9375,Reverse
Drer_1399128,Zebrafish_EnSpm-N49B_DR#DNA/CACTA,2011,37,15,1,0,0.9375,Reverse
Drer_439112,Zebrafish_EnSpm-N49_DR#DNA/CACTA,400,37,25,0,0,1.0,Forward
Drer_439113,Zebrafish_EnSpm-N49_DR#DNA/CACTA,400,37,26,0,0,1.0,Forward
Drer_439114,Zebrafish_EnSpm-N49_DR#DNA/CACTA,400,37,27,0,0,1.0,Forward
Drer_439115,Zebrafish_EnSpm-N49_DR#DNA/CACTA,400,37,28,0,0,1.0,Forward
Drer_439116,Zebrafish_EnSpm-N49_DR#DNA/CACTA,400,37,29,0,0,1.0,Forward
Drer_439117,Zebrafish_EnSpm-N49_DR#DNA/CACTA,400,37,30,0,0,1.0,Forward
Drer_310944,Zebrafish_EnSpm-N49_DR#DNA/CACTA,402,37,22,0,0,1.0,Forward
Drer_310945,Zebrafish_EnSpm-N49_DR#DNA/CACTA,402,37,25,0,0,1.0,Forward
Drer_310946,Zebrafish_EnSpm-N49_DR#DNA/CACTA,402,37,26,0,0,1.0,Forward
Drer_310947,Zebrafish_EnSpm-N49_DR#DNA/CACTA,402,37,28,0,0,1.0,Forward
Drer_310948,Zebrafish_EnSpm-N49_DR#DNA/CACTA,402,37,29,0,0,1.0,Forward
Drer_310949,Zebrafish_EnSpm-N49_DR#DNA/CACTA,402,37,30,0,0,1.0,Forward
Drer_600936,Zebrafish_EnSpm-N49_DR#DNA/CACTA,452,37,26,0,0,1.0,Forward
Drer_1640990,Zebrafish_EnSpm-N49_DR#DNA/CACTA,454,37,24,0,0,1.0,Reverse
Drer_1788654,Zebrafish_EnSpm-N49_DR#DNA/CACTA,454,37,23,0,0,1.0,Reverse
Drer_1622885,Zebrafish_EnSpm-N49_DR#DNA/CACTA,455,37,19,0,0,1.0,Forward
Drer_1808236,Zebrafish_EnSpm-N49_DR#DNA/CACTA,468,37,28,0,0,1.0,Reverse
Drer_1014569,Zebrafish_EnSpm-N49_DR#DNA/CACTA,471,37,28,0,0,1.0,Reverse
Drer_843503,Zebrafish_EnSpm-N49_DR#DNA/CACTA,475,37,29,0,0,1.0,Forward
Drer_894029,Zebrafish_EnSpm-N49_DR#DNA/CACTA,480,37,29,0,0,1.0,Reverse
Drer_1779691,Zebrafish_EnSpm-N49_DR#DNA/CACTA,481,37,23,0,0,1.0,Forward
Drer_1779692,Zebrafish_EnSpm-N49_DR#DNA/CACTA,481,37,26,0,0,1.0,Forward
Drer_1463724,Zebrafish_EnSpm-N49_DR#DNA/CACTA,484,37,26,0,0,1.0,Reverse
Drer_1688255,Zebrafish_EnSpm-N49_DR#DNA/CACTA,492,37,30,0,0,1.0,Forward
Drer_1841359,Zebrafish_EnSpm-N49_DR#DNA/CACTA,509,37,29,0,0,1.0,Reverse
Drer_1841358,Zebrafish_EnSpm-N49_DR#DNA/CACTA,510,37,28,0,0,1.0,Reverse
Drer_551099,Zebrafish_EnSpm-N49_DR#DNA/CACTA,511,37,29,0,0,1.0,Reverse
Drer_1341371,Zebrafish_EnSpm-N49_DR#DNA/CACTA,511,37,30,0,0,1.0,Reverse
Drer_1651175,Zebrafish_EnSpm-N49_DR#DNA/CACTA,511,37,28,0,0,1.0,Reverse
Drer_1841357,Zebrafish_EnSpm-N49_DR#DNA/CACTA,511,37,27,0,0,1.0,Reverse
Drer_551098,Zebrafish_EnSpm-N49_DR#DNA/CACTA,512,37,28,0,0,1.0,Reverse
Drer_551097,Zebrafish_EnSpm-N49_DR#DNA/CACTA,514,37,26,0,0,1.0,Reverse
Drer_823779,Zebrafish_EnSpm-N49_DR#DNA/CACTA,514,37,30,0,0,1.0,Reverse
Drer_1433719,Zebrafish_EnSpm-N49_DR#DNA/CACTA,514,37,31,0,0,1.0,Reverse
Drer_1433718,Zebrafish_EnSpm-N49_DR#DNA/CACTA,515,37,30,0,0,1.0,Reverse
Drer_544347,Zebrafish_EnSpm-N49_DR#DNA/CACTA,516,37,34,0,0,1.0,Reverse
Drer_1433717,Zebrafish_EnSpm-N49_DR#DNA/CACTA,516,37,29,0,0,1.0,Reverse
Drer_1631684,Zebrafish_EnSpm-N49_DR#DNA/CACTA,516,37,33,0,0,1.0,Reverse
Drer_1747803,Zebrafish_EnSpm-N49_DR#DNA/CACTA,517,37,26,0,0,1.0,Forward
